Instance,MIP w/out SB w/out R,MIP + SB w/out R,MIP w/out SB + R,MIP + SB + R
1,0.004271030426025391,0.008456945419311523,0.0023963451385498047,0.0019500255584716797
2,0.00228118896484375,0.002499103546142578,0.002541065216064453,0.004300832748413086
3,0.006326198577880859,0.006791830062866211,0.0017757415771484375,0.006159067153930664
4,0.0067179203033447266,0.005207061767578125,0.009562969207763672,0.008327722549438477
5,0.010256767272949219,0.005923748016357422,0.05187392234802246,0.011513233184814453
6,0.0033049583435058594,0.0030889511108398438,0.08823490142822266,0.0038797855377197266
7,0.07228899002075195,0.06026482582092285,0.07539200782775879,0.07134509086608887
8,0.014924049377441406,0.016493797302246094,0.016067981719970703,0.12461590766906738
9,0.022470951080322266,0.030246734619140625,0.04346823692321777,0.12350916862487793
10,0.02887868881225586,0.02478504180908203,0.12562918663024902,0.7820160388946533
11,0.38266491889953613,0.3972291946411133,0.49950289726257324,1.7871177196502686
12,0.1388397216796875,0.1392829418182373,4.766119956970215,2.195136070251465
13,0.17229843139648438,0.16130781173706055,0.3773062229156494,0.4919300079345703
14,0.29785585403442383,0.3025858402252197,0.6686480045318604,1.2046163082122803
15,0.21447396278381348,0.23391509056091309,1.5119271278381348,1.007784366607666
16,11.94831919670105,12.36521577835083,2.0242910385131836,73.2882559299469
17,0.6408758163452148,0.6764791011810303,16.026174783706665,70.37735986709595
18,1.1599318981170654,1.2827088832855225,8.768346786499023,TIMEOUT
19,38.359326124191284,35.83737301826477,245.54418206214905,TIMEOUT
20,3.5189309120178223,3.215472936630249,TIMEOUT,TIMEOUT
21,50.83513689041138,49.28459811210632,TIMEOUT,TIMEOUT
22,8.825219869613647,8.202193021774292,TIMEOUT,TIMEOUT
23,0.55118727684021,0.5383045673370361,TIMEOUT,TIMEOUT
24,0.920233964920044,0.9376189708709717,4.602248907089233,3.7078418731689453
25,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
26,28.169795751571655,28.96168088912964,146.14224481582642,83.5249457359314
27,2.15718674659729,2.2132651805877686,26.423371076583862,5.6297760009765625
28,4.720871925354004,4.619098901748657,TIMEOUT,168.29022407531738
29,6.721738815307617,7.135977029800415,5.329375982284546,155.57744812965393
30,184.51283478736877,131.47073364257812,TIMEOUT,TIMEOUT
31,2.4683711528778076,2.7748520374298096,1.6361112594604492,16.135090827941895
32,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
33,0.7745089530944824,0.7142369747161865,18.791646003723145,0.6249990463256836
34,234.79562211036682,86.8967547416687,186.8345890045166,259.971923828125
35,86.05763983726501,TIMEOUT,TIMEOUT,46.489609241485596
36,15.227457761764526,26.28994607925415,TIMEOUT,47.05014419555664
37,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
38,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
39,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
40,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
