Instance,SAT w/out SB w/out R,SAT + SB w/out R,SAT w/out SB + R,SAT + SB + R
1,0.04422187805175781,0.04306292533874512,0.12302199999976438,0.1344699999990553
2,0.053775787353515625,0.05141305923461914,0.17215500000020256,0.17368600000008882
3,0.07665085792541504,0.0773470401763916,0.26740000000063446,0.27391399999942223
4,0.1098792552947998,0.10834693908691406,0.4299460000002,0.4171219999989262
5,0.16470909118652344,0.14818811416625977,0.5655980000010459,0.5864529999998922
6,0.23363924026489258,0.23129606246948242,0.8369839999995747,0.837348999999449
7,0.23736000061035156,0.21897506713867188,0.9843559999990248,1.138929000000644
8,0.29962992668151855,0.2824411392211914,1.0997360000001208,1.136026000000129
9,0.3224031925201416,0.3039839267730713,1.2274099999995087,1.255100999998831
10,0.5061941146850586,0.4784231185913086,1.9387120000010327,2.5325400000001537
11,1.4078059196472168,1.4378948211669922,17.083638000000064,9.663301000000502
12,0.7472348213195801,0.8419830799102783,4.295680000001084,2.994360000000597
13,0.8171119689941406,0.8412818908691406,3.2241160000012314,3.1856039999984205
14,1.0810060501098633,0.935204267501831,7.400728000000527,4.00956700000097
15,1.3126568794250488,1.096059799194336,4.884192999999868,4.526584000001094
16,1.8905529975891113,3.5876519680023193,10.105059999999867,10.741768999998385
17,1.610558032989502,1.5534791946411133,17.7614880000001,18.397517999999764
18,3.360811233520508,1.9458250999450684,34.64663599999949,68.0243900000005
19,2.6418910026550293,23.483410835266113,26.130465999998705,23.382579999999507
20,3.2649600505828857,5.113074779510498,17.021388000001025,64.99957499999982
21,3.923248767852783,3.3599159717559814,52.46610999999939,263.8198140000004
22,12.254126071929932,18.805484771728516,TIMEOUT,224.19684999999845
23,3.601224899291992,2.7670609951019287,14.732884999999442,10.906548999999359
24,2.67435884475708,2.4516360759735107,13.698191000001316,11.948930000000473
25,10.38240909576416,18.867812156677246,TIMEOUT,TIMEOUT
26,3.8422768115997314,4.170374870300293,23.941267000000153,20.15142200000082
27,5.0024800300598145,3.5933661460876465,22.05409200000031,13.163747999999032
28,4.910324811935425,14.21792197227478,20.219351999998253,38.232935
29,3.987384080886841,9.380532026290894,26.032600999998976,19.121830000000045
30,29.198312044143677,11.679179906845093,TIMEOUT,212.8402270000006
31,5.124199151992798,3.808651924133301,24.30208700000003,13.09908600000017
32,TIMEOUT,205.93686819076538,TIMEOUT,TIMEOUT
33,6.9087233543396,6.848129034042358,43.79985099999976,15.827149000000645
34,26.00847816467285,4.737066984176636,17.137672999999268,19.058304000000135
35,6.7311718463897705,12.959272861480713,18.27293699999973,18.189556999999695
36,10.667469024658203,3.938403844833374,17.24043200000051,17.68197499999951
37,39.73985719680786,12.963622093200684,TIMEOUT,TIMEOUT
38,TIMEOUT,TIMEOUT,88.87633099999948,68.8841109999994
39,39.62777590751648,10.559909105300903,TIMEOUT,47.873523000000205
40,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
