Instance,h_min,h,time,h_rotation,time_rotation
1,8,8,0.026454925537109375,8,0.06115078926086426
2,9,9,0.031472206115722656,9,0.042044878005981445
3,10,10,0.045519113540649414,10,0.06217217445373535
4,11,11,0.06187319755554199,11,0.11030793190002441
5,12,12,0.10519623756408691,12,0.13665509223937988
6,13,13,0.14419007301330566,13,0.5549740791320801
7,14,14,0.1860198974609375,14,0.5258371829986572
8,15,15,0.2094419002532959,15,0.2756030559539795
9,16,16,0.2968282699584961,16,0.3043248653411865
10,17,17,0.39403200149536133,17,3.8246819972991943
11,18,18,10.190635919570923,18,198.75210428237915
12,19,19,4.087407112121582,19,12.560943841934204
13,20,20,2.867837905883789,20,15.526250123977661
14,21,21,1.1933379173278809,21,10.955960035324097
15,22,22,1.6961851119995117,22,19.324360132217407
16,23,23,8.010058164596558,23,56.33768490108302
17,24,24,3.5476601123809814,24,138.52359676361084
18,25,25,8.49480414390564,25,297.8205261230469
19,26,26,83.53982472419739,26,257.3902748292741
20,27,27,34.61854004859924,27,252.31570887565613
21,28,28,32.600419998168945,28,199.371893728272
22,29,29,210.0051679611206,DNF,TIMEOUT
23,30,30,16.40393900871277,30,218.6543140411377
24,31,31,12.188747644424438,31,116.52891707420349
25,32,32,116.02520990371704,DNF,TIMEOUT
26,33,33,114.10652494430542,DNF,TIMEOUT
27,34,34,23.522960901260376,DNF,TIMEOUT
28,35,35,17.180208921432495,35,57.921738284782
29,36,36,89.61272311210632,DNF,TIMEOUT
30,37,37,212.739262940296,DNF,TIMEOUT
31,38,38,10.636498928070068,38,99.4462502002716
32,39,DNF,TIMEOUT,DNF,TIMEOUT
33,40,40,21.834423065185547,40,122.56016111373901
34,40,40,37.927472863737267,40,242.82469081878662
35,40,40,54.59963369369507,DNF,TIMEOUT
36,40,40,22.9840350151062,40,78.23926711082458
37,60,DNF,TIMEOUT,DNF,TIMEOUT
38,60,DNF,TIMEOUT,DNF,TIMEOUT
39,60,60,120.39808297157288,DNF,TIMEOUT
40,90,DNF,TIMEOUT,DNF,TIMEOUT
