Instance,SMT w/out SB w/out R,SMT + SB w/out R,SMT w/out SB + R,SMT + SB + R
1,0.03700518608093262,0.03521585464477539,0.03094315528869629,0.052720069885253906
2,0.04226422309875488,0.038764238357543945,0.03776288032531738,0.04745006561279297
3,0.06205606460571289,0.054939985275268555,0.04982304573059082,0.06703400611877441
4,0.07577180862426758,0.06731200218200684,0.07703900337219238,0.0917811393737793
5,0.1067800521850586,0.09891510009765625,0.4165620803833008,0.12704086303710938
6,0.14247608184814453,0.1280670166015625,1.1743850708007812,0.17841100692749023
7,0.13505005836486816,0.13922381401062012,0.45514869689941406,0.17484188079833984
8,0.19394588470458984,0.17524504661560059,0.7343051433563232,0.3214588165283203
9,0.18603801727294922,0.17049217224121094,1.5081219673156738,0.24413490295410156
10,0.3958420753479004,0.30248117446899414,3.2133870124816895,0.5387389659881592
11,0.9717938899993896,1.5775120258331299,157.86269402503967,2.8710458278656006
12,0.5382022857666016,0.6566517353057861,38.39062690734863,1.0438311100006104
13,0.7069931030273438,0.4615492820739746,35.25492310523987,0.6042189598083496
14,2.1769020557403564,1.661074161529541,8.411638975143433,1.7010688781738281
15,2.829084873199463,2.382883071899414,18.35136318206787,2.3481950759887695
16,10.711239099502563,8.945303916931152,H,36.248997926712036
17,6.932222843170166,4.642539978027344,290.36893010139465,6.024574279785156
18,6.451343774795532,5.756345748901367,H,13.238781929016113
19,24.12017011642456,15.208100080490112,H,31.536344051361084
20,13.328145027160645,16.40584659576416,H,H
21,24.14869785308838,15.128067970275879,H,37.559813022613525
22,48.69370698928833,60.91622304916382,H,284.10590410232544
23,14.986849069595337,10.067718029022217,246.86450791358948,12.007239818572998
24,8.280426025390625,8.809133052825928,7.206370115280151,7.159362077713013
25,49.76010179519653,67.58015584945679,H,H
26,28.317689180374146,36.76364803314209,202.65393805503845,31.967602968215942
27,19.858239889144897,11.876462936401367,H,15.462472915649414
28,20.937711715698242,23.96094012260437,H,24.909924030303955
29,29.706489086151123,32.416563987731934,H,18.275926113128662
30,H,H,H,H
31,10.574597120285034,9.88575291633606,56.54231095314026,34.346630334854126
32,H,H,H,H
33,19.016928911209106,15.29367709159851,107.87881016731262,7.430212020874023
34,18.59622621536255,20.311925172805786,283.23130321502686,H
35,23.611159086227417,14.95165205001831,H,H
36,12.629446029663086,13.876183032989502,135.9566879272461,H
37,295.3284161090851,159.292005777359,H,H
38,H,H,H,H
39,H,H,H,H
40,H,H,H,H
