Instance,h_min,h,time,h_restart5000,time_restart5000
1,8,8,0.16562414169311523,8,0.164590835571289
2,9,9,0.1642627716064453,9,0.1629450321197509
3,10,10,0.1630709171295166,10,0.1644859313964843
4,11,11,0.16921401023864746,11,0.1727139949798584
5,12,12,0.20316290855407715,12,0.1732008457183838
6,13,13,0.24236702919006348,13,0.1700789928436279
7,14,14,0.454941987991333,14,0.1714999675750732
8,15,15,0.17630481719970703,15,0.1742100715637207
9,16,16,0.1772441864013672,16,0.1724889278411865
10,17,17,0.6670029163360596,17,0.1770579814910888
11,18,18,5.688007116317749,18,0.1930921077728271
12,19,19,1.541599988937378,19,0.3933107852935791
13,20,20,0.7875561714172363,20,0.544135332107544
14,21,21,0.9267997741699219,21,0.591947078704834
15,22,22,2.2655189037323,22,0.1892509460449218
16,23,23,2.576780080795288,23,2.617676019668579
17,24,24,13.09224009513855,24,0.8674030303955078
18,25,25,8.24276614189148,25,0.996319055557251
19,26,26,30.27261710166931,26,2.4399218559265137
20,27,DNF,TIMEOUT,27,1.0390021800994873
21,28,28,107.02973484992981,28,2.2815911769866943
22,29,29,107.42519688606262,29,9.334371089935305
23,30,30,45.886245012283325,30,0.9651591777801514
24,31,31,0.9505059719085693,31,0.9125020503997804
25,32,DNF,TIMEOUT,32,21.64990186691284
26,33,33,61.71865487098694,33,5.604343891143799
27,34,DNF,TIMEOUT,34,2.081465005874634
28,35,DNF,TIMEOUT,35,2.280214071273804
29,36,36,12.242079973220825,36,4.447009086608887
30,37,DNF,TIMEOUT,37,45.690997838974
31,38,38,3.555238962173462,38,1.0712976455688477
32,39,DNF,TIMEOUT,39,111.45194911956789
33,40,DNF,TIMEOUT,40,2.622037887573242
34,40,40,11.858427047729492,40,1.091186285018921
35,40,40,2.4616739749908447,40,2.399953365325928
36,40,40,4.397948980331421,40,7.833233118057251
37,60,DNF,TIMEOUT,60,25.10451102256775
38,60,DNF,TIMEOUT,60,10.807415008544922
39,60,DNF,TIMEOUT,60,7.241243839263916
40,90,DNF,TIMEOUT,DNF,TIMEOUT
