Instance,h_min,h,time,h_chuffed,time_chuffed
1,8,8,0.1640808582305908,8,0.16508698463439941
2,9,9,0.1572608947753906,9,0.16337370872497559
3,10,10,0.1628890037536621,10,0.16607999801635742
4,11,11,0.1617531776428222,11,0.1666581630706787
5,12,12,0.1624069213867187,12,0.16997575759887695
6,13,13,0.1735479831695556,13,0.16530609130859375
7,14,14,0.1647369861602783,14,0.1695091724395752
8,15,15,0.1678619384765625,15,0.1724390983581543
9,16,16,0.1685707569122314,16,0.17047810554504395
10,17,17,0.1739759445190429,17,0.17333698272705078
11,18,18,0.1834900379180908,18,9.286595106124878
12,19,19,0.2776079177856445,19,0.18242192268371582
13,20,20,0.2580132484436035,20,0.18331408500671387
14,21,21,0.3020710945129394,21,0.1849501132965088
15,22,22,0.1839058399200439,22,0.18918704986572266
16,23,23,1.2919716835021973,23,58.36156702041626
17,24,24,0.4598770141601562,24,0.1996910572052002
18,25,25,0.7536990642547607,25,0.2015061378479004
19,26,26,1.335747003555298,26,1.0465269088745117
20,27,27,1.2937240600585938,27,0.24225687980651855
21,28,28,0.8976168632507324,28,6.0989768505096436
22,29,29,5.130207061767578,29,0.24338889122009277
23,30,30,0.7273159027099609,30,4.768711805343628
24,31,31,0.5186402797698975,31,0.26236391067504883
25,32,32,10.460286140441896,32,139.836590051651
26,33,33,1.526759147644043,33,0.22227787971496582
27,34,34,0.7267251014709473,34,0.7699480056762695
28,35,35,1.2392640113830566,35,0.21827197074890137
29,36,36,1.2930529117584229,36,0.3172111511230469
30,37,37,5.628938913345337,DNF,TIMEOUT
31,38,38,0.8716161251068115,38,165.4828863143921
32,39,39,181.5286440849304,DNF,TIMEOUT
33,40,40,0.7540478706359863,DNF,TIMEOUT
34,40,40,2.815682888031006,DNF,TIMEOUT
35,40,40,0.7458319664001465,DNF,TIMEOUT
36,40,40,1.117500066757202,DNF,TIMEOUT
37,60,60,6.582142353057861,DNF,TIMEOUT
38,60,60,50.54297113418579,DNF,TIMEOUT
39,60,60,13.213340044021606,DNF,TIMEOUT
40,90,DNF,TIMEOUT,DNF,TIMEOUT
